Akashiwo,Alexandrium_singlet,Amy_Gony_Protoc,Asterionellopsis,Boreadinium,Centric,Ceratium,Chaetoceros,Ciliates,Clusterflagellate,Cochlodinium,Corethron,Cryptophyte,Cyl_Nitz,Det_Cer_Lau,Dictyocha,Dinophysis,Ditylum,Entomoneis,Eucampia,FlagMix,Guin_Dact,Gymnodinium,Gyrodinium,Hemiaulus,Leptocylindrus,Licmophora,Lingulodinium,Mesodinium,NanoP_less10,Odontella,Pennate,Peridinium,Phaeocystis,Pleurosigma,Polykrikos,Prorocentrum,Protoperidinium,Pseudo_nitzschia,Pyramimonas,Rhiz_Prob,Scrip_Het,Skeletonema,Thalassionema,Thalassiosira,Tiarina,Tintinnid,Tontonia,Torodinium,Tropidoneis,Vicicitus,unclassified,datetime
0.000943182108304702,0.00163145013328381,0.000331388308323274,0,0,0.00203931266660476,0.000280405491658155,0.000101965633330238,0.00369625420822113,0.0162125356995079,0.00053531957498375,0,0,0,0.00053531957498375,2.54914083325595e-05,0.000101965633330238,0,2.54914083325595e-05,0,7.64742249976786e-05,7.64742249976786e-05,0.0029570033665769,0,0,0,2.54914083325595e-05,2.54914083325595e-05,0.000254914083325595,0.000662776616646548,2.54914083325595e-05,0.000662776616646548,0.000994164924969821,2.54914083325595e-05,0,2.54914083325595e-05,0.00122358759996286,0,0.000764742249976786,0,5.0982816665119e-05,0.00165694154161637,2.54914083325595e-05,2.54914083325595e-05,0.000586302391648869,0.000101965633330238,0,0.000484336758318631,0.000127457041662798,0,0,0.0102730375580215,2016-07-20 21:10:45
0.000918457227422044,0.00165542290691039,0.000285986681592493,5.49974387677871e-06,1.09994877535574e-05,0.00224389550172571,0.000698467472350896,6.59969265213445e-05,0.00254638141494854,0.0130508922195959,0.000566473619308207,5.49974387677871e-06,5.49974387677871e-06,0,0.000692967728474117,1.64992316303361e-05,0.000164992316303361,0,1.64992316303361e-05,0.000104495133658795,0.000115494621412353,1.09994877535574e-05,0.00301935938835151,5.49974387677871e-05,0,1.09994877535574e-05,2.19989755071148e-05,5.49974387677871e-06,0.000137493596919468,0.000505976436663641,0,0.000522475668293977,0.00164992316303361,1.09994877535574e-05,5.49974387677871e-06,5.49974387677871e-06,0.00113844698249319,0,0.000841460813147142,5.49974387677871e-06,2.74987193838935e-05,0.00230439268437028,5.49974387677871e-06,5.49974387677871e-06,0.000450978997895854,0.000104495133658795,0,0.00021449001119437,6.04971826445658e-05,0,2.19989755071148e-05,0.00983354205168033,2016-07-21 00:20:16
0.00351768461085063,0.000531743022570444,0.000204516547142478,8.18066188569914e-05,0,0.00327226475427965,0.000409033094284957,0.000204516547142478,0.00417213756170656,0.00110438935456938,0.000368129784856461,0,0,0,0.00057264633199894,4.09033094284957e-05,0.000409033094284957,0,0,8.18066188569914e-05,0.000122709928285487,0,0.00441755741827753,0,0,0,0,0,0.000122709928285487,0.000981679426283896,0,0.00028632316599947,0.00122709928285487,0,0,0,0.00261781180342372,0,0.000327226475427966,0,0,0.00462207396542001,0,0,0.000654452950855931,0,0,0.000122709928285487,8.18066188569914e-05,0,0.000122709928285487,0.0132526722548326,2016-07-27 22:17:03
0.00460135119724439,0.000635545745475745,0.000294893225900746,0,1.01687319276119e-05,0.00271505142467238,0.000305061957828357,0.000218627736443656,0.00282690747587611,0.00110330741414589,0.000371158715357835,5.08436596380596e-06,7.11811234932834e-05,0,0.000706726868969028,1.52530978914179e-05,0.000406749277104477,1.01687319276119e-05,0,0.000162699710841791,0.000325399421683581,2.03374638552238e-05,0.00312688506774066,1.52530978914179e-05,5.08436596380596e-06,5.08436596380596e-06,0,5.08436596380596e-06,1.52530978914179e-05,0.000676220673186192,5.08436596380596e-06,0.000330483787647387,0.00157615344877985,0,5.08436596380596e-06,0,0.00269979832678096,0,0.000376243081321641,5.08436596380596e-06,0,0.00475896654212238,1.01687319276119e-05,5.08436596380596e-06,0.00071689560089664,3.05061957828357e-05,5.08436596380596e-06,5.59280256018655e-05,6.60967575294774e-05,0,7.11811234932834e-05,0.0124414435134332,2016-07-28 00:15:31
0.00278604891472517,0.000886470109230736,0.00265941032769221,0,0,0.0297600679527461,0.00316596467582406,0.00177294021846147,0.00278604891472517,0.00303932608879109,0.000126638587032962,0,0,0,0.00392579619802183,0,0.00709176087384589,0,0.000253277174065925,0.000126638587032962,0.000126638587032962,0,0.00785159239604366,0.000253277174065925,0,0,0,0,0.000379915761098887,0.00987780978857106,0,0.00215285597956036,0.00126638587032962,0.000886470109230736,0.000379915761098887,0.000126638587032962,0.00987780978857106,0,0.000759831522197774,0,0,0.00557209782945034,0,0,0.0422972880690094,0,0,0.000253277174065925,0.000126638587032962,0,0,0.0657254266701074,2016-08-03 22:57:05
0.00703466647110327,0.00160150917533628,0.00307829022175228,0.000129717254077082,1.99565006272433e-05,0.0374483734270221,0.0052036575385537,0.00260432333185525,0.00231994319791704,0.00363208311415829,0.000284380133938217,1.49673754704325e-05,6.48586270385408e-05,0,0.00426570200907326,0.000124728128920271,0.00900038178288674,9.97825031362166e-06,0.000184597630802001,0.000982857655891734,0.000174619380488379,0.000144684629547514,0.00747869861005944,2.9934750940865e-05,1.49673754704325e-05,7.48368773521625e-05,4.98912515681083e-06,0,0.000104771628293027,0.00791774162385879,1.49673754704325e-05,0.00283382308906855,0.00333273560474964,0.000608673269130922,5.986950188173e-05,1.99565006272433e-05,0.0126125083964178,4.98912515681083e-06,0.00109261840934157,1.49673754704325e-05,3.49238760976758e-05,0.0081522305062289,0.000149673754704325,9.97825031362166e-06,0.0514628259925037,3.49238760976758e-05,9.97825031362166e-06,4.49021264112975e-05,9.47933779794058e-05,0,9.47933779794058e-05,0.0655720719359648,2016-08-04 00:03:44
0,4.93096666369018e-05,2.46548333184509e-05,0,0,0.00160256416569931,0.000172583833229156,9.86193332738037e-05,2.46548333184509e-05,2.46548333184509e-05,0,0,2.46548333184509e-05,2.46548333184509e-05,8.62919166145782e-05,2.46548333184509e-05,0.000209566083206833,0,0,1.23274166592255e-05,0,0,0.000394477333095215,0,0,0,0,0,1.23274166592255e-05,0.0074087774121945,0,0.000591715999642822,6.16370832961273e-05,0,1.23274166592255e-05,0,0.00191074958217995,0,8.62919166145782e-05,0,0,8.62919166145782e-05,0,0,0.000209566083206833,0,0,0,1.23274166592255e-05,0,0,0.00400641041424827,2016-08-09 17:37:46
0.000628036992076244,6.68124459655579e-05,1.00218668948337e-05,1.33624891931116e-05,0,0.0038684406214058,0.000280612273055343,7.01530682638358e-05,0.000187074848703562,6.68124459655579e-05,3.34062229827789e-05,0,3.34062229827789e-05,2.00437337896674e-05,0.000320699740634678,0.000120262402738004,0.000410896542688181,0,6.68124459655579e-06,1.33624891931116e-05,8.01749351586694e-05,6.68124459655579e-06,0.00138301763148705,0,0,3.34062229827789e-05,3.34062229827789e-06,0,3.34062229827789e-06,0.00345754407871762,1.00218668948337e-05,0.000778364995498749,0.000150328003422505,3.34062229827789e-06,3.67468452810568e-05,0,0.00649416974785222,3.34062229827789e-06,0.000170371737212173,3.34062229827789e-06,0,0.000210459204791507,0,3.34062229827789e-06,0.000250546672370842,0,0,0,0.000130284269632838,0,0,0.00822795272065845,2016-08-10 00:08:43
0.00162757417404513,0.000120561049929269,5.56435615058164e-05,9.27392691763607e-06,9.27392691763607e-06,0.00462305256844158,0.00166003291825686,0.000194752465270358,0.000292128697905536,7.41914153410886e-05,6.95544518822706e-05,4.63696345881804e-06,5.56435615058164e-05,8.81023057175427e-05,0.000347772259411353,0.000366320113246625,0.000769735934163794,4.63696345881804e-06,1.39108903764541e-05,8.81023057175427e-05,0.000157656757599813,4.63696345881804e-06,0.00212372926413866,2.31848172940902e-05,0,2.78217807529082e-05,4.63696345881804e-06,0,1.39108903764541e-05,0.00142818474531596,4.63696345881804e-06,0.0016461220278804,0.000139108903764541,0,6.02805249646345e-05,0,0.0325700313347379,9.27392691763607e-06,0.000139108903764541,0,4.63696345881804e-06,0.000505429017011166,0,0,0.000296765661364354,0,0,0,0.000408052784375987,0,0,0.0119726396506682,2016-08-11 00:14:31
0.00115489268254287,0.000280181064995608,8.8837898657144e-05,3.416842256044e-06,1.0250526768132e-05,0.00467765704852424,0.00269588854001872,0.000198176850850552,0.000396353701701104,9.5671583169232e-05,6.1503160608792e-05,0,0.000263096853715388,0.00015375790152198,0.000266513695971432,0.00066628423992858,0.000645783186392316,0,2.0501053536264e-05,5.4669476096704e-05,0.000146924217009892,1.3667369024176e-05,0.00275397485837146,1.0250526768132e-05,6.833684512088e-06,2.0501053536264e-05,0,0,3.416842256044e-06,0.00145557480107474,3.416842256044e-06,0.0012266463699198,0.000246012642435168,0,5.8086318352748e-05,0,0.035569327885418,0,0.000232345273410992,6.833684512088e-06,6.833684512088e-06,0.000464690546821984,0,3.416842256044e-06,0.000215261062130772,1.3667369024176e-05,6.833684512088e-06,3.416842256044e-06,0.000744871611817592,0,0,0.017624072356675,2016-08-12 00:04:04
0.000211520204842828,4.70044899650728e-05,2.68597085514702e-05,1.00723907068013e-05,6.71492713786754e-06,0.00173245120156983,0.000268597085514702,7.72216620854767e-05,8.7294052792278e-05,5.37194171029403e-05,1.00723907068013e-05,0,3.02171721204039e-05,2.35022449825364e-05,8.7294052792278e-05,0.000359248601875913,7.3864198516543e-05,0,0,2.68597085514702e-05,5.37194171029403e-05,1.00723907068013e-05,0.000386108310427384,1.34298542757351e-05,0,3.35746356893377e-06,3.35746356893377e-06,0,0,0.000493547144633264,1.34298542757351e-05,0.000748714375872231,5.03619535340066e-05,0,2.01447814136026e-05,3.35746356893377e-06,0.0079034692412701,0,0.000228307522687496,0,3.35746356893377e-06,0.000154443324170953,3.35746356893377e-06,0,5.03619535340066e-05,0,3.35746356893377e-06,0,8.7294052792278e-05,0,0,0.00391480252137678,2016-08-13 00:09:52
0.00176023168726875,5.71067532129173e-05,2.01553246633826e-05,0,6.71844155446086e-06,0.00264706597245758,0.000880115843634373,4.7029090881226e-05,8.73397402079912e-05,5.37475324356869e-05,2.01553246633826e-05,0,2.68737662178434e-05,6.71844155446086e-06,0.000137728051866448,0.000571067532129173,0.000120931947980295,0,1.00776623316913e-05,1.67961038861521e-05,9.74174025396825e-05,1.00776623316913e-05,0.000728950908659003,3.35922077723043e-06,0,1.67961038861521e-05,0,3.35922077723043e-06,3.35922077723043e-06,0.000510601558139025,0,0.000638251947673782,7.39028570990695e-05,0,3.69514285495347e-05,0,0.00530085038646962,0,0.000167961038861521,0,3.35922077723043e-06,0.000188116363524904,0,0,9.74174025396825e-05,0,0,0,8.06212986535303e-05,0,0,0.00460213246480569,2016-08-14 00:15:39
0.00138530718910561,5.45933867627826e-05,1.02362600180217e-05,3.41208667267391e-06,6.82417334534782e-06,0.00291050993179084,0.000330972407249369,5.11813000901086e-05,4.43571267447608e-05,3.7532953399413e-05,6.82417334534782e-06,0,1.02362600180217e-05,6.82417334534782e-06,8.18900801441738e-05,0.000426510834084239,0.000160368073615674,0,3.41208667267391e-06,3.07087800540652e-05,3.7532953399413e-05,0,0.000522049260919108,0,3.41208667267391e-06,3.41208667267391e-06,0,0,0,0.000460631700810978,6.82417334534782e-06,0.000668768987844086,3.07087800540652e-05,0,4.77692134174347e-05,0,0.0037396469932506,0,0.000225197720396478,6.82417334534782e-06,0,0.000133071380234282,0,0,8.87142534895216e-05,0,0,0,0.000102362600180217,3.41208667267391e-06,0,0.00353833387956284,2016-08-15 00:21:27
0.00117734601142233,5.03139321120654e-05,1.34170485632174e-05,3.35426214080436e-06,6.70852428160872e-06,0.00250898808132166,0.000593704398922372,2.34798349856305e-05,6.03767185344785e-05,3.01883592672393e-05,2.68340971264349e-05,0,1.34170485632174e-05,3.35426214080436e-06,5.70224563936742e-05,0.000154296058477001,0.000144233272054588,0,1.00627864224131e-05,1.34170485632174e-05,4.36054078304567e-05,3.35426214080436e-06,0.000493076534698241,3.35426214080436e-06,0,1.00627864224131e-05,3.35426214080436e-06,0,0,0.000405865719037328,0,0.000674206690301677,2.68340971264349e-05,0,1.67713107040218e-05,0,0.00405865719037328,0,0.000194547204166653,6.70852428160872e-06,3.35426214080436e-06,0.000140879009913783,0,0,8.72108156609134e-05,0,0,3.35426214080436e-06,7.71480292385003e-05,0,0,0.0032268001794538,2016-08-16 00:03:34
0.000852733115313796,5.11639869188277e-05,1.70546623062759e-05,3.41093246125518e-06,3.41093246125518e-06,0.00196469709768299,0.00147693375572349,2.72874596900415e-05,4.09311895350622e-05,3.41093246125518e-05,2.38765272287863e-05,0,2.04655947675311e-05,6.82186492251037e-06,6.82186492251037e-05,0.000228532474904097,0.000160313825678994,0,6.82186492251037e-06,3.7520257073807e-05,4.09311895350622e-05,6.82186492251037e-06,0.000317216718896732,0,0,1.02327973837655e-05,0,0,6.82186492251037e-06,0.000293340191667946,3.41093246125518e-06,0.000525283599033298,6.82186492251037e-05,0,1.70546623062759e-05,0,0.00481623663529232,0,0.000126204501066442,6.82186492251037e-06,3.41093246125518e-06,0.000139848230911463,0,0,5.11639869188277e-05,0,0,0,7.5040514147614e-05,0,0,0.00276626622607795,2016-08-17 00:09:23
0.00640720283526073,0.000180191750910523,6.23740676228735e-05,1.03956779371456e-05,3.46522597904853e-06,0.00344789984915329,0.0145989970497314,2.42565818533397e-05,0.00014207426514099,6.93045195809706e-05,0.000176726524931475,0,0.000114352457308601,2.77218078323882e-05,0.000107422005350504,0.000492062089024891,0.000561366608605862,0,2.77218078323882e-05,2.07913558742912e-05,0.000128213361224796,1.03956779371456e-05,0.00104303301969361,1.03956779371456e-05,3.46522597904853e-06,1.03956779371456e-05,3.46522597904853e-06,0,3.46522597904853e-06,0.000973728500112636,1.03956779371456e-05,0.000887097850636423,0.000246031044512446,0,3.81174857695338e-05,0,0.0400822688996543,0,0.000149004717099087,3.46522597904853e-06,1.03956779371456e-05,0.00042275756944392,0,0,0.000145539491120038,0,3.46522597904853e-06,6.93045195809706e-06,0.000183656976889572,0,0,0.0104372606488942,2016-08-18 00:16:45
