datetime,GroupCount,mean_BiovolumeMean,mean_BiovolumeSum,mean_BiovolumeStd,mean_BiovolumeMin,mean_BiovolumeMax,mean_EquivDiameterMean,mean_EquivDiameterSum,mean_EquivDiameterStd,mean_EquivDiameterMin,mean_EquivDiameterMax,mean_GroupCount,median_BiovolumeMean,median_BiovolumeSum,median_BiovolumeStd,median_BiovolumeMin,median_BiovolumeMax,median_EquivDiameterMean,median_EquivDiameterSum,median_EquivDiameterStd,median_EquivDiameterMin,median_EquivDiameterMax,median_GroupCount
26-Apr-2023,60,139373.809711006,50816406.2216018,465441.448883549,36.7878585188333,6320399.9398,56.0410879676752,20956.5840482101,38.6023576923122,2.75800356736667,278.332229445,381.183333333333,134445.764293299,49992618.3193471,382742.202140893,0,3046286.6155,55.9995045443256,21263.9493794455,38.3349288210133,0,265.68836505,387
27-Apr-2023,60,208689.943604661,98585586.348843,721596.590739575,8.02332649166667,11108852.536,66.2568211113858,32233.9252933967,47.3543344387075,0.7312732791,315.886892036667,498.216666666667,198444.61770209,96418536.5764654,593935.136094195,0,9351904.661,67.7788122635463,31036.998707665,47.9322370762917,0,313.9004315,451.5
30-Apr-2023,59,74110.5907825214,113198272.541337,376460.809789783,24.5337401325424,10187095.7669322,44.7304390584696,69318.1086205004,27.2732784376733,1.89201419784746,311.217582130509,1558.57627118644,71105.8840002336,111249108.302362,302466.480275523,0,9140416.047,44.2852618589269,66761.648773243,27.6898382719737,0,311.2424847,1493
01-May-2023,54,177480.162346499,72383039.295669,706293.844919891,45.878251465,11028925.6798519,62.4175290385601,25742.052076104,44.3308889423082,2.63316874901852,319.246600453704,428.462962962963,171673.063834958,71673343.0878775,637979.480669745,0,10560910.64,63.2375251814154,24261.1672824665,44.8588497940111,0,319.97624405,390.5
02-May-2023,59,159871.72034978,50965754.8480944,466142.339884808,88.5237624023729,6346661.32081356,65.4232345623783,20892.562585288,40.9817758289882,5.28285772888136,266.745061983051,320.169491525424,150171.256267547,50004826.4897795,323943.068038669,106.2394028,3569079.75,65.3785464511184,20344.620475575,41.1991353872911,7.39927702,253.1772075,313
04-May-2023,59,174926.507261752,121915172.26117,529737.244148516,60.2952184428813,9265096.20040678,65.4773251617877,45580.6073071951,41.8447614107355,3.56152808657627,297.848693988136,700.016949152542,176160.760385345,116273531.839783,472754.841844968,0,7658539.097,65.6198905640449,46790.012422332,41.6707139988144,0,299.356675,737
06-May-2023,59,132061.412784333,74645618.2863847,588488.709866732,76.6896400254237,11364852.003022,56.4056372392006,31955.0158623293,34.4975755375415,4.47907176342373,285.22159639322,571.932203389831,117316.427939932,68322255.1725721,309578.863181462,90.97018433,4061896.25,56.4048966699472,30380.356140438,33.9195609577377,7.312732791,238.7475402,541
07-May-2023,59,131899.429896054,77617507.447443,379914.405428457,67.9070520527119,6641210.22001695,60.0207566242067,36018.2384777091,34.7994804088855,3.95325403922034,281.089056344068,608.491525423729,128175.408952923,78250136.561506,323270.98965559,74.43797302,4546227.5,61.4955778471614,35302.135830667,34.8529937869363,7.225151994,260.3060931,589
08-May-2023,59,134410.978322089,94774626.0243666,357601.401565255,61.4813207152542,7140002.36627119,66.3814365133326,47196.5184868167,35.0008162390942,3.45246318833898,269.837202477966,712.864406779661,128126.502714571,90026062.3908316,239374.038183056,0,3446755.837,66.143887593325,46903.999696604,34.751162861076,0,239.0193682,708
10-May-2023,59,129838.811032849,157201697.069766,421292.463714366,28.6618070069492,10863266.3011356,61.693980856201,76138.6438806452,32.5496324574749,1.79811572310169,296.826709516949,1249.66101694915,128988.517939004,151951948.556126,288326.740619672,0,5834982.923,60.9392353236674,75027.398268172,32.4003402655613,0,267.9704533,1216
11-May-2023,59,119462.921535816,122241369.623917,303886.188223318,46.8570131228814,6849677.91247458,61.8276478097227,64139.9906949178,31.2764946161046,3.06199616081356,272.799739113559,1049.1186440678,120823.864526404,114749183.358652,232905.573642416,0,5127864,62.18181940947,63822.450094503,31.2230670731063,0,264.5946893,980
12-May-2023,59,141486.17670469,174596755.326736,318892.199634533,13.6748519471186,7892509.69379661,66.3437104789403,84313.4512592871,32.8227095191397,1.01932366786441,298.925197818644,1296.76271186441,133567.332381746,171786806.023206,274970.583386258,0,7229314.5,65.2356039920341,82629.33967061,32.6471728144955,0,282.1151019,1234
13-May-2023,60,145561.423962719,167992846.854412,425575.63377661,49.4479774488333,11888506.8309667,68.2334928906519,79712.894395718,31.0241317408909,3.28265868915,303.77405369,1181.01666666667,145792.307585058,166025756.925428,243778.9150801,0,4925183.6465,68.1928357510161,79358.0196561795,30.6944778966741,0,270.73165295,1153
14-May-2023,60,148573.425550652,168533758.151934,316134.437493946,52.1739347443333,7857282.70701667,68.9430755793418,79368.6871145887,31.746776413823,3.42650099288333,275.895402343333,1156.06666666667,155770.101027929,166823359.821237,203614.248845503,0,4218185.112,69.4437291026446,78484.7163928545,31.4566925295837,0,260.02985005,1108.5
15-May-2023,59,127139.985808093,132192277.498399,260160.07048436,61.1987643079661,5992521.50587119,66.3352705596895,70467.1646354496,30.9683993656727,3.9045357988983,254.569482516949,1078,125670.539112606,124140734.048171,173600.630158105,66.52784729,2962722,66.8143980005497,62887.558058452,30.7008752459838,7.225151994,226.7480674,924
18-May-2023,59,127871.797462868,55674019.9027245,449113.797612592,116.66151967678,7194566.75832203,56.5081972087134,24651.8727849572,31.4129610683238,6.96079075766102,265.233312657627,437.542372881356,118912.099013603,50642292.30431,284426.187291073,122.0651169,3019545.5,55.9130436458922,23635.211172198,31.0447580259738,7.653039857,243.3430187,413
